video_id,as_of_date_utc,viewCount,likeCount,commentCount
VxL0dGJO3lM,2025-09-09,186,3,0
EYoAlofrCrs,2025-09-09,2532,66,1
7MOOnJ3c4wM,2025-09-09,3819,79,4
qzg_PLl1pfY,2025-09-09,32598,530,2
fSITXvP8QFk,2025-09-09,197,57,21
fgacMRCsH_Q,2025-09-09,596542,13570,359
bp5A7D7OMLA,2025-09-09,404,42,16
nSjRnVKw78k,2025-09-09,26480,350,6
hCVCfCAnwLs,2025-09-09,251,1,0
X66N88ZAyZQ,2025-09-09,966,3,7
gOV5v_xbrzo,2025-09-09,37522,1995,15
vUxBjwheh6M,2025-09-09,732,6,0
kp_59LpWBIo,2025-09-09,8,1,1
s05vQ_qRHTY,2025-09-09,4,1,0
t_ITyIhUwPI,2025-09-09,1,0,0
VtUdmkbC544,2025-09-09,1439,14,0
gYu-Jg3YNVQ,2025-09-09,8035,196,4
Db_tDGCKgaU,2025-09-09,955,7,1
o93TyilUZyY,2025-09-09,1933,23,1
AbFg7cMGJkA,2025-09-09,1653,10,0
oeUHY5Hfa_o,2025-09-09,1953,57,1
0hN9Z4SrWv0,2025-09-09,14765,281,1
-DXQKrYefXk,2025-09-09,1050,6,2
-ITk9yYmZZk,2025-09-09,1905,11,0
1bzUo8uzbDQ,2025-09-09,83193,389,1
-JlYFAPivY8,2025-09-09,4513,38,0
CyXmg6z2PbY,2025-09-09,1784,14,2
T8LH4J8Yk9c,2025-09-09,31886,631,7
b351yG4uAa0,2025-09-09,20334,1019,7
q_HVQ1H59-c,2025-09-09,11,2,0
n4lT_FBbfW8,2025-09-09,1522,14,0
lBZ_a1EkiTM,2025-09-09,10,0,0
YxW8ULze3yA,2025-09-09,1653,27,0
sCe3ugAHWqs,2025-09-09,0,0,0
bbJWr7NgkRU,2025-09-09,27993,475,3
C51DB9ojje4,2025-09-09,3,0,0
IdT3c8scNrc,2025-09-09,30,2,0
fN0uch6Pp38,2025-09-09,321,3,0
b2-sWp3t7c0,2025-09-09,1116,3,0
