date,close,volume,ticker
2019-07-15,5710.0,2803,228810.KS
2019-07-16,5645.0,14063,228810.KS
2019-07-17,5575.0,1599,228810.KS
2019-07-18,5535.0,38848,228810.KS
2019-07-19,5595.0,5804,228810.KS
2019-07-22,5570.0,6402,228810.KS
2019-07-23,5525.0,73892,228810.KS
2019-07-24,5510.0,1167,228810.KS
2019-07-25,5425.0,7879,228810.KS
2019-07-26,5370.0,3871,228810.KS
2019-07-29,5180.0,6592,228810.KS
2019-07-30,5235.0,4377,228810.KS
2019-07-31,5280.0,2870,228810.KS
2019-08-01,5210.0,9452,228810.KS
2019-08-02,5130.0,954,228810.KS
2019-08-05,4680.0,9962,228810.KS
2019-08-06,4575.0,71079,228810.KS
2019-08-07,4720.0,2926,228810.KS
2019-08-08,4975.0,4420,228810.KS
2019-08-09,4930.0,9204,228810.KS
2019-08-12,4890.0,1893,228810.KS
2019-08-13,4795.0,1997,228810.KS
2019-08-14,4800.0,11127,228810.KS
2019-08-16,4685.0,2994,228810.KS
2019-08-19,4740.0,8959,228810.KS
2019-08-20,4805.0,923,228810.KS
2019-08-21,4925.0,7173,228810.KS
2019-08-22,4865.0,13651,228810.KS
2019-08-23,4775.0,17939,228810.KS
2019-08-26,4520.0,16692,228810.KS
2019-08-27,4600.0,31281,228810.KS
2019-08-28,4725.0,30539,228810.KS
2019-08-29,4685.0,19064,228810.KS
2019-08-30,4790.0,27646,228810.KS
2019-09-02,4845.0,11675,228810.KS
2019-09-03,4890.0,60581,228810.KS
2019-09-04,4915.0,12773,228810.KS
2019-09-05,4930.0,9505,228810.KS
2019-09-06,4885.0,3727,228810.KS
2019-09-09,5015.0,31304,228810.KS
2019-09-10,5090.0,19880,228810.KS
2019-09-11,5170.0,63515,228810.KS
2019-09-16,5165.0,23063,228810.KS
2019-09-17,5190.0,18646,228810.KS
2019-09-18,5330.0,61781,228810.KS
2019-09-19,5285.0,19500,228810.KS
2019-09-20,5315.0,39820,228810.KS
2019-09-23,5340.0,10824,228810.KS
2019-09-24,5295.0,27669,228810.KS
2019-09-25,5185.0,34643,228810.KS
2019-09-26,5195.0,17327,228810.KS
2019-09-27,5240.0,36612,228810.KS
2019-09-30,5180.0,10511,228810.KS
2019-10-01,5255.0,5111,228810.KS
2019-10-02,5165.0,11525,228810.KS
2019-10-04,5080.0,13354,228810.KS
2019-10-07,5105.0,19547,228810.KS
2019-10-08,5115.0,857,228810.KS
2019-10-10,5045.0,9487,228810.KS
2019-10-11,5100.0,21583,228810.KS
2019-10-14,5250.0,36725,228810.KS
2019-10-15,5315.0,40399,228810.KS
2019-10-16,5265.0,27248,228810.KS
2019-10-17,5255.0,13064,228810.KS
2019-10-18,5240.0,2986,228810.KS
2019-10-21,5230.0,1615,228810.KS
2019-10-22,5275.0,4613,228810.KS
2019-10-23,5205.0,18707,228810.KS
2019-10-24,5275.0,12624,228810.KS
2019-10-25,5235.0,2307,228810.KS
2019-10-28,5230.0,7436,228810.KS
2019-10-29,5335.0,13766,228810.KS
2019-10-30,5420.0,82943,228810.KS
2019-10-31,5420.0,26040,228810.KS
2019-11-01,5490.0,7131,228810.KS
2019-11-04,5555.0,12765,228810.KS
2019-11-05,5550.0,35143,228810.KS
2019-11-06,5575.0,12795,228810.KS
2019-11-07,5525.0,6820,228810.KS
2019-11-08,5455.0,27825,228810.KS
2019-11-11,5485.0,60558,228810.KS
2019-11-12,5465.0,2647,228810.KS
2019-11-13,5390.0,1297,228810.KS
2019-11-14,5525.0,40797,228810.KS
2019-11-15,5570.0,8279,228810.KS
2019-11-18,5595.0,14221,228810.KS
2019-11-19,5585.0,2467,228810.KS
2019-11-20,5500.0,3068,228810.KS
2019-11-21,5455.0,31448,228810.KS
2019-11-22,5380.0,6210,228810.KS
2019-11-25,5490.0,37917,228810.KS
2019-11-26,5475.0,5531,228810.KS
2019-11-27,5445.0,675,228810.KS
2019-11-28,5350.0,2317,228810.KS
2019-11-29,5405.0,17778,228810.KS
2019-12-02,5400.0,5182,228810.KS
2019-12-03,5385.0,4739,228810.KS
2019-12-04,5325.0,6428,228810.KS
2019-12-05,5320.0,2805,228810.KS
2019-12-06,5350.0,16703,228810.KS
2019-12-09,5290.0,1469,228810.KS
2019-12-10,5315.0,30333,228810.KS
2019-12-11,5300.0,449,228810.KS
2019-12-12,5350.0,5318,228810.KS
2019-12-13,5410.0,2764,228810.KS
2019-12-16,5390.0,8245,228810.KS
2019-12-17,5390.0,6219,228810.KS
2019-12-18,5355.0,6525,228810.KS
2019-12-19,5355.0,1109,228810.KS
2019-12-20,5355.0,6019,228810.KS
2019-12-23,5335.0,4476,228810.KS
2019-12-24,5275.0,7808,228810.KS
2019-12-26,5330.0,5163,228810.KS
2019-12-27,5440.0,7862,228810.KS
2019-12-30,5515.0,3427,228810.KS
2020-01-02,5555.0,50148,228810.KS
2020-01-03,5545.0,13541,228810.KS
2020-01-06,5385.0,12490,228810.KS
2020-01-07,5560.0,10676,228810.KS
2020-01-08,5430.0,17140,228810.KS
2020-01-09,5610.0,28492,228810.KS
2020-01-10,5635.0,11854,228810.KS
2020-01-13,5900.0,89497,228810.KS
2020-01-14,5910.0,234363,228810.KS
2020-01-15,5945.0,50459,228810.KS
2020-01-16,5960.0,11720,228810.KS
2020-01-17,5930.0,14908,228810.KS
2020-01-20,5860.0,41176,228810.KS
2020-01-21,5775.0,33340,228810.KS
2020-01-22,5855.0,33415,228810.KS
2020-01-23,5820.0,17379,228810.KS
2020-01-28,5435.0,42283,228810.KS
2020-01-29,5570.0,18967,228810.KS
2020-01-30,5490.0,20857,228810.KS
2020-01-31,5360.0,19479,228810.KS
2020-02-03,5465.0,211618,228810.KS
2020-02-04,5560.0,8474,228810.KS
2020-02-05,5535.0,19496,228810.KS
2020-02-06,5590.0,17366,228810.KS
2020-02-07,5580.0,15909,228810.KS
2020-02-10,5620.0,13754,228810.KS
2020-02-11,5625.0,34098,228810.KS
2020-02-12,5670.0,22981,228810.KS
2020-02-13,5805.0,93871,228810.KS
2020-02-14,5750.0,78861,228810.KS
2020-02-17,5860.0,42444,228810.KS
2020-02-18,5785.0,32245,228810.KS
2020-02-19,5730.0,21738,228810.KS
2020-02-20,5585.0,26571,228810.KS
2020-02-21,5415.0,26602,228810.KS
2020-02-24,5225.0,11960,228810.KS
2020-02-25,5330.0,18626,228810.KS
2020-02-26,5285.0,19128,228810.KS
2020-02-27,5155.0,9812,228810.KS
2020-02-28,4890.0,29473,228810.KS
2020-03-02,4985.0,28690,228810.KS
2020-03-03,4960.0,16966,228810.KS
2020-03-04,5040.0,14008,228810.KS
2020-03-05,5070.0,4304,228810.KS
2020-03-06,4855.0,160685,228810.KS
2020-03-09,4620.0,17486,228810.KS
2020-03-10,4660.0,3387,228810.KS
2020-03-11,4470.0,8887,228810.KS
2020-03-12,4075.0,65743,228810.KS
2020-03-13,3875.0,19424,228810.KS
2020-03-16,3800.0,12402,228810.KS
2020-03-17,3805.0,8558,228810.KS
2020-03-18,3620.0,5540,228810.KS
2020-03-19,3205.0,5648,228810.KS
2020-03-20,3410.0,5482,228810.KS
2020-03-23,3140.0,15889,228810.KS
2020-03-24,3380.0,11017,228810.KS
2020-03-25,3660.0,11733,228810.KS
2020-03-26,3720.0,82980,228810.KS
2020-03-27,3750.0,7479,228810.KS
2020-03-30,3780.0,14239,228810.KS
